geneId	seqnames	start	end	width	strand	V4	V5	V6	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	gene_name	gene_type
ENSMUSG00000102693.1	chr1	3014795	3014871	77	*	chr1:3014794-3014871	0	-	Distal Intergenic	1	3073253	3074322	1070	1	ENSMUST00000193812.1	-58382	4933401J01Rik	TEC
ENSMUSG00000064842.1	chr1	3099889	3099963	75	*	chr1:3099888-3099963	0	+	Promoter (2-3kb)	1	3102016	3102125	110	1	ENSMUST00000082908.1	-2053	Gm26206	snRNA
ENSMUSG00000102851.1	chr1	3287446	3287468	23	*	chr1:3287445-3287468	0	-	Intron (ENSMUST00000070533.4/ENSMUSG00000051951.5, intron 2 of 2)	1	3252757	3253236	480	1	ENSMUST00000192857.1	34689	Gm18956	processed_pseudogene
ENSMUSG00000103025.1	chr1	3472954	3472969	16	*	chr1:3472953-3472969	0	-	Intron (ENSMUST00000161581.1/ENSMUSG00000089699.1, intron 1 of 1)	1	3464977	3467285	2309	2	ENSMUST00000194099.1	-5669	Gm37686	TEC
ENSMUSG00000103147.1	chr1	3535949	3535996	48	*	chr1:3535948-3535996	0	-	Intron (ENSMUST00000070533.4/ENSMUSG00000051951.5, intron 1 of 2)	1	3531795	3532720	926	1	ENSMUST00000192183.1	4154	Gm7341	processed_pseudogene
ENSMUSG00000103161.1	chr1	3589199	3589237	39	*	chr1:3589198-3589237	0	+	Intron (ENSMUST00000070533.4/ENSMUSG00000051951.5, intron 1 of 2)	1	3592892	3595903	3012	2	ENSMUST00000195166.1	6666	Gm38148	TEC
ENSMUSG00000102331.1	chr1	3654229	3654253	25	*	chr1:3654228-3654253	0	-	Intron (ENSMUST00000070533.4/ENSMUSG00000051951.5, intron 1 of 2)	1	3647309	3658904	11596	2	ENSMUST00000192692.1	4651	Gm19938	sense_intronic
ENSMUSG00000051951.5	chr1	3671870	3671902	33	*	chr1:3671869-3671902	0	+	Promoter (<=1kb)	1	3214482	3671498	457017	2	ENSMUST00000070533.4	-372	Xkr4	protein_coding
ENSMUSG00000088333.2	chr1	3791950	3792000	51	*	chr1:3791949-3792000	0	-	Distal Intergenic	1	3783876	3783933	58	2	ENSMUST00000157708.2	-8017	Gm27396	snRNA
ENSMUSG00000102948.1	chr1	4296729	4296776	48	*	chr1:4296728-4296776	0	+	Intron (ENSMUST00000208660.1/ENSMUSG00000025900.13, intron 4 of 29)	1	4256234	4260519	4286	2	ENSMUST00000195384.1	-36210	Gm6101	processed_pseudogene
ENSMUSG00000025902.13	chr1	4493715	4493748	34	*	chr1:4493714-4493748	0	-	Promoter (2-3kb)	1	4491713	4496363	4651	2	ENSMUST00000116652.7	2615	Sox17	protein_coding
ENSMUSG00000104328.1	chr1	4571897	4571924	28	*	chr1:4571896-4571924	0	-	Distal Intergenic	1	4583129	4586252	3124	2	ENSMUST00000195771.1	14328	Gm37323	lincRNA
ENSMUSG00000102735.1	chr1	4637450	4637475	26	*	chr1:4637449-4637475	0	+	Distal Intergenic	1	4610471	4611406	936	1	ENSMUST00000192738.1	26979	Gm7369	processed_pseudogene
ENSMUSG00000102175.1	chr1	4705858	4705879	22	*	chr1:4705857-4705879	0	+	Distal Intergenic	1	4692219	4693424	1206	2	ENSMUST00000193443.1	-12434	Gm6119	processed_pseudogene
ENSMUSG00000033845.13	chr1	4788660	4788684	25	*	chr1:4788659-4788684	0	-	Promoter (2-3kb)	1	4781221	4785739	4519	2	ENSMUST00000146665.2	-2921	Mrpl15	protein_coding
ENSMUSG00000002459.17	chr1	5018368	5018390	23	*	chr1:5018367-5018390	0	-	Promoter (<=1kb)	1	4910402	5018735	108334	2	ENSMUST00000119256.7	345	Rgs20	protein_coding
ENSMUSG00000002459.17	chr1	5019246	5019272	27	*	chr1:5019245-5019272	0	+	Promoter (<=1kb)	1	4909576	5019539	109964	2	ENSMUST00000002533.14	267	Rgs20	protein_coding
ENSMUSG00000091665.1	chr1	5046615	5046637	23	*	chr1:5046614-5046637	0	+	Intron (ENSMUST00000118000.7/ENSMUSG00000002459.17, intron 1 of 5)	1	5063060	5064647	1588	1	ENSMUST00000169520.1	-16423	Gm17101	processed_pseudogene
ENSMUSG00000033793.12	chr1	5170921	5170946	26	*	chr1:5170920-5170946	0	-	Distal Intergenic	1	5083154	5162419	79266	1	ENSMUST00000192698.2	87767	Atp6v1h	protein_coding
ENSMUSG00000102907.1	chr1	5369145	5369170	26	*	chr1:5369144-5369170	0	-	Distal Intergenic	1	5403547	5405578	2032	1	ENSMUST00000194850.1	-34377	Gm38264	TEC
ENSMUSG00000093015.1	chr1	5645303	5645319	17	*	chr1:5645302-5645319	0	-	Promoter (<=1kb)	1	5644645	5644745	101	2	ENSMUST00000175274.1	-558	Gm22463	miRNA
ENSMUSG00000087247.3	chr1	6301798	6301834	37	*	chr1:6301797-6301834	0	+	Distal Intergenic	1	6359218	6394731	35514	1	ENSMUST00000133144.3	-57384	Alkal1	protein_coding
ENSMUSG00000102706.1	chr1	6383107	6383131	25	*	chr1:6383106-6383131	0	+	Promoter (<=1kb)	1	6382634	6383106	473	2	ENSMUST00000192950.1	-1	Gm7417	processed_pseudogene
ENSMUSG00000102706.1	chr1	6383198	6383226	29	*	chr1:6383197-6383226	0	+	Promoter (<=1kb)	1	6382634	6383106	473	2	ENSMUST00000192950.1	-92	Gm7417	processed_pseudogene
ENSMUSG00000103845.1	chr1	6441350	6441369	20	*	chr1:6441349-6441369	0	-	Promoter (<=1kb)	1	6429655	6441296	11642	2	ENSMUST00000194240.1	-54	Gm19026	processed_pseudogene
ENSMUSG00000033740.17	chr1	6500564	6500611	48	*	chr1:6500563-6500611	0	-	Intron (ENSMUST00000140079.7/ENSMUSG00000033740.17, intron 2 of 23)	1	6487331	6860940	373610	1	ENSMUST00000131494.7	13233	St18	protein_coding
ENSMUSG00000033740.17	chr1	6548021	6548050	30	*	chr1:6548020-6548050	0	+	Intron (ENSMUST00000140079.7/ENSMUSG00000033740.17, intron 2 of 23)	1	6487331	6860940	373610	1	ENSMUST00000131494.7	60690	St18	protein_coding
ENSMUSG00000103329.2	chr1	6886784	6886808	25	*	chr1:6886783-6886808	0	+	Distal Intergenic	1	6861237	6864151	2915	2	ENSMUST00000195780.2	-22633	Gm42492	TEC
ENSMUSG00000102768.1	chr1	7348421	7348447	27	*	chr1:7348420-7348447	0	-	Distal Intergenic	1	7315451	7316462	1012	1	ENSMUST00000192649.1	32970	Gm19002	processed_pseudogene
ENSMUSG00000103067.1	chr1	7524225	7524272	48	*	chr1:7524224-7524272	0	+	Distal Intergenic	1	7497968	7518149	20182	1	ENSMUST00000194886.1	26257	Gm30414	lincRNA
ENSMUSG00000103903.1	chr1	7653982	7654019	38	*	chr1:7653981-7654019	0	+	Distal Intergenic	1	7664081	7664961	881	1	ENSMUST00000194305.1	-10062	Rps2-ps2	processed_pseudogene
ENSMUSG00000103903.1	chr1	7668589	7668616	28	*	chr1:7668588-7668616	0	+	Distal Intergenic	1	7664081	7664961	881	1	ENSMUST00000194305.1	4508	Rps2-ps2	processed_pseudogene
ENSMUSG00000103557.1	chr1	7741985	7742014	30	*	chr1:7741984-7742014	0	+	Distal Intergenic	1	7728861	7730565	1705	2	ENSMUST00000194872.1	-11420	Gm38216	processed_pseudogene
ENSMUSG00000103557.1	chr1	7892493	7892511	19	*	chr1:7892492-7892511	0	-	Distal Intergenic	1	7728861	7730565	1705	2	ENSMUST00000194872.1	-161928	Gm38216	processed_pseudogene
ENSMUSG00000103557.1	chr1	7967706	7967746	41	*	chr1:7967705-7967746	0	+	Distal Intergenic	1	7728861	7730565	1705	2	ENSMUST00000194872.1	-237141	Gm38216	processed_pseudogene
